Event,Type of content or engagement,Start Date,End Date,Location,Confirmed,Speaking Engagement,Talk,Time,Opportunity #,Travel Out,Travel back,Eyeballs,Video
Gemfire Video,video,01/02/2023,01/06/2023,virtual,yes,yes,,,,,,722,
ADD CodeMash,conference,01/06/2023,01/13/2023,"Sandusky, Ohio",yes,yes,The Spiders Agree: Knative Makes It Way Easier to Deploy Your App to Kubernetes,,,,,115,
ADD Kube Cuddle podcast,podcast guest,02/21/2023,02/21/2022,virtual,yes,yes,,,,,,2000,
Containers from the Couch,streaming show guest,03/09/2023,02/27/2023,virtual,yes,yes,,,,,,2300,
DevOps Speakeasy @ Devnexus,guest,,,,"Atlanta, GA",yes,yes,,,,,,108,
Devnexus,conference,04/04/2023,04/06/2023,"Atlanta, GA",yes,yes,Knative Core Concepts! And Spiders!,,,,,200,
The Golden Path to SpringOne,streaming show guest,,,virtual,yes,,Who Should Use Kubernetes?,,,,,250,
Cloud Native Rejekts,conference,04/16/2023,04/17/2023,Amsterdam,yes,yes,How To Fight Misconfiguration And Bad Intentions With Kubernetes Validating Admission Policy And Crossplane,,,,,115,
ADD Kubernetes w Abdel from Google,podcast guest,,,Amsterdam,,,,,,,,,15000,
ADD Upbound blog post,guest,,,,,,,,,,,115,
KubeCon EU Amsterdam,conference,04/18/2023,04/23/2023,Amsterdam,yes,yes,"Choose Your Own Adventure: The Treacherous Trek to Development",,,,,1300,
KubeCon wrap up podcast on DevOps Paradox,,,,,,,,,,,,2200,
ADD Superhero Podcast with Lian,,,,,,,,,,,,115,
Time with my son in Amsterdam!,personal,04/23/2023,05/05/2023,Amsterdam,yes,n/a,,,,,,,
Cloud Native Podcast,podcast guest,05/10/2023,05/10/2023,virtual,yes,yes,,,,,,200,
ADD GOTO Promo Video,,,,,,,,,,,,15211,
GOTO Aarhus,conference - invite,05/22/2023,05/26/2021,"Aarhus, Denmark",,yes,"Choose Your Own Adventure: The Treacherous Trek to Development",,,,,13506,
ADD VMware blog about CNCF Ambassadors,guest,05/24/2023,,,,,,,,,,,500,
ADD Humans of Cloud Native,guest,,,,,,,,,,,2000,
Cloud Native Live Stream - Kyverno,streaming show,05/30/2023,05/30/2023,virtual,,,What's new in Kyverno!,,,,,776,
ADD K8s Atlanta Meetup,,,,,,,,,,,,50,
ADD Productivity Alchemy Podcast,podcast,,,,,,,,,,,3000,
ADD DevOps Days Amsterdam video,streaming guest,06/22/2023,,virtual,yes,yes,,,,,,1200,
ADD DevOps Days Amsterdam,conference,06/21/2023,06/23/2023,Amsterdam,,yes,"Choose Your Own Adventure: The Treacherous Trek to Production",,,,,50,
Cloud Native Live Stream - AIAC,streaming show,6/28/2023,,virtual,,,IaC Migration using AI,,,,,832,
Cloud Native Live Stream - Streamline Service Mesh Observability with Kuma & OpenTelemetry,streaming show,7/12/2023,,virtual,yes,,Streamline Service Mesh Observability with Kuma & OpenTelemetry,,,,,1100,
Cloud Native Live Stream - Falco - A peek into the people and the latest features,streaming show,7/18/2023,,virtual,,,Falco - A peek into the people and the latest features,,,,,639,
Cloud Native Live Stream - Gateway API Plugin for Argo Rollouts 🐙,streaming show,7/19/2023,,virtual,,,Gateway API Plugin for Argo Rollouts 🐙,,,,,1100,
Cloud Native Live Stream - Policy based governance for Internal Developer platforms,streaming show,7/26/2023,,virtual,,,Policy based governance for Internal Developer platforms,,,,,977,
ADD Kubernetes Unpacked - What the Heck Is Ingress?,podcast guest,7/28/2023,,virtual,,,What the Heck Is Ingress?,,,,,2000,
Cloud Native Live Stream - Supercharge your infrastructure management with Open Policy Agent (OPA),streaming show,08/08/2023,,virtual,,,,,,,,678,
ADD VMware explore keynote,conferenece,08/21/2023,08/24/2023,Las Vegas,,,,,,,,2500,
Rain and Hail SpringOne Tour,customer meeting,8/29/2023,8/29/2023,virtual,,,,,,,,50,
Cloud Native Live Stream - K8s All the Things!,streaming show,08/30/2023,,virtual,,,,,,,,2100,
Understanding Authority To Operate,video,09/27/2023,,virtual,,,Also on webpage! https://tanzu.vmware.com/authority-to-operate,,,,,343,
ADD Open at Intel,podcast guest,08/30/2023,08/30/2023,virtual,,,Developer Experience Is Everything,,,,,500,
ADD Kubernetes Superstream w O'Reilly,webinar,09/06/2023,,virtual,,,What a RUSH,,,,,1000,
Cloud Native Live Stream - The Power of Traces: Why OpenTelemetry Embraced Trace-Based Testing,streaming show,09/12/2023,,,,,,,,,1900,
Cloud Native Live Stream - Get more with multi-arch clouds,streaming show,,,virtual,,,,,,,,514,
KubeCon China KEYNOTE,conference,09/26/2023,09/28/2023,Shanghai,,,"Choose Your Own Adventure: the Perilous Passage to Production",,,,,2000,
Special Cloud Native Live - Architect Your Sched,streaming show,10/5/2023,,virtual,,,,,,,,733,
Open Source Connect Bangladesh,show guest,10/11/2023,,virtual,,,,,,,,500,
AARP Customer meeting,customer meeting,10/11/2023,10/11/2023,virtual,,,who should use k8s,10am EST,,,kim daniels,50,
Friend's wedding,personal travel,10/13/2023,10/16/2023,Colorado Springs,,,,,,,,
ADD SpringOne Tour Virtual,conference,10/17/2023,10/17/2023,virtual,,,Emcee & What a RUSH,,,,,xxx,
Cloud Native Live Stream - Dive into Kubernetes testing techniques with KUTTL & Crossplane,streaming show,10/18/2023,,virtual,,,,,,,,1600,
working from LA - Mutual Benefit show - 10/25,musical performance,10/21/2023,10/28/2023,Los Angeles,,,*** I'll be working on KubeCon presentations from LA,,,,,
ADD DevOps Paradox - Whitney bio,podcast guest,10/30/2023,,virtual,,,,,,,,1600,
Cloud Native Live: 2-node HA for edge Kubernetes — a new approach,streaming show,11/01/2023,,virtual,,,,,,,,1400,
Cloud Native Rejekts,conference,11/03/2023,11/04/2023,Chicago,yes,yes,"Choose Your Own Adventure: the Perilous Passage to Production",,,,,100,
AppDevCon,KubeCon Day 0,11/05/2023,11/06/2023,Chicago,yes,yes,Secret Word of the Day: Platforms,,,,,300,
Humans of Cloud Native panel discussion,conference,11/07/2023,,Chicago,,,,,,,,200,
ADD Ecosystem Panel (Analyst Event),conference,11/07/2023,,,,,,,,,30,
KubeCon NA,conference,11/06/2023,11/11/2023,Chicago,yes,yes,Security Showdown: The Overconfident Operator vs the Nefarious Ne'er-Do-Well,,,,,300,
ADD Open At Intel At KubeCon,podcast guest,11/10/2023,,Chicago/virtual,,,,,,,,
DevOps Paradox - KubeCon Review,podcast guest,11/10/2023,,Chicago/virtual,,,,,,,,1650,
holiday in NYC - Mutual Benefit show - 11/14,musical performance,11/11/2023,return date tbd,New York City,,,,,,,,
KubeCon Recap,Twitter Space by Marino Wijay,11/15/2023,,virtual,,,,,,,,615,
Cloud Native Live Stream - Cloud native application threat modeling and adversary emulation,streaming show,11/29/2023,,virtual,,,,,,,,369,
Talk w internal team (Matt Bentley) about personal brand,meeting,11/29/2023,,virtual,,,,,,,,30,
ADD Coffee + Software with Josh Long,streaming show,12/14/2023,,virtual,,,,,,,,300,
YouTube shorts,videos,throughout,,virtual,,,,,,,,1105,
